Muscle,Phase,Comparison,Group1_Mean,Group2_Mean,t_statistic,df,p_value,p_adjusted,Significant
SCML,Warmup,High-WanT vs Low-WanT,8.253171503585879,7.471656507977223,0.46960067281706447,55.92019878436375,0.6404663881122128,1,No
SCML,SecondThreshold,High-WanT vs Low-WanT,13.589488028754358,10.1345324385955,1.3648281811070437,53.76992171589252,0.1779912957213315,0.8899564786066574,No
SCML,VO2max,High-WanT vs Low-WanT,31.049602876080794,18.98073689861454,1.4027140082446203,39.87860232106445,0.16843980832128808,0.8421990416064404,No
SCML,WanT,High-WanT vs Low-WanT,50.77823546697719,51.50995865620036,-0.032265809923136,41.688897586049464,0.9744140617624415,1,No
SCML,Cooldown,High-WanT vs Low-WanT,12.602246704961381,29.38661284915371,-0.7941071907654292,29.98542228270347,0.43337304325855475,1,No
SCMR,Warmup,High-WanT vs Low-WanT,14.918922246504867,7.307478566325192,1.059781243621478,30.09285829212419,0.29767661767354675,1,No
SCMR,SecondThreshold,High-WanT vs Low-WanT,12.861121086625543,9.133287938792417,1.2210099122994567,46.08659890176695,0.22829225749223034,1,No
SCMR,VO2max,High-WanT vs Low-WanT,23.553217855373752,16.310033955777033,1.3190201112779265,45.099623487505156,0.19382069122379267,0.9691034561189633,No
SCMR,WanT,High-WanT vs Low-WanT,44.92263600122285,35.32253116429664,0.6666281011230815,55.92053365241145,0.5077509214747609,1,No
SCMR,Cooldown,High-WanT vs Low-WanT,14.845884136382198,8.927989789796191,1.129570520682054,34.94016645816542,0.2663526360815705,1,No
MTL,Warmup,High-WanT vs Low-WanT,6.349984598080595,6.911613188445869,-0.411073559537706,46.484942657035035,0.6829075869447574,1,No
MTL,SecondThreshold,High-WanT vs Low-WanT,6.143557945631728,7.116565657630982,-0.7993650441455015,55.52883887632136,0.4274849647762722,1,No
MTL,VO2max,High-WanT vs Low-WanT,11.624823969101092,9.890708014430661,0.7554536000040347,51.033653873682496,0.4534495919927036,1,No
MTL,WanT,High-WanT vs Low-WanT,22.117165137036945,15.478720772194967,1.7231018282742612,53.91699024469521,0.0906014182739018,0.45300709136950895,No
MTL,Cooldown,High-WanT vs Low-WanT,5.383439387962505,5.184308678767081,0.13534845225082595,57.79573915668855,0.8928066740823923,1,No
MTR,Warmup,High-WanT vs Low-WanT,6.512002607394731,7.282410214681085,-0.44716440449017986,39.923525587665594,0.6571730305902085,1,No
MTR,SecondThreshold,High-WanT vs Low-WanT,5.921031777700813,6.863486328998086,-0.6244549019498762,53.99765631970123,0.5349585566187955,1,No
MTR,VO2max,High-WanT vs Low-WanT,11.306543758489251,9.482616246337841,0.5086692001348168,40.0982936241182,0.6137716201390688,1,No
MTR,WanT,High-WanT vs Low-WanT,22.664374703668585,12.511292580594299,1.8988931601204633,35.59524823578742,0.0657078536431088,0.328539268215544,No
