DV,Grouping,Unit,Effect,DFn,DFd,F_value,p_value,eta_squared_partial,Significant
%MVC,Cluster,MTL,Group:Phase,1,57,7.671,0.008,0.036,Yes
%MVC,Cluster,MTR,Group:Phase,1,56,5.653,0.021,0.019,Yes
%MVC,VO2max,MTR,Group:Phase,1,56,7.343,0.009,0.021,Yes
CCI,VO2max,SCML_STL,Group:Phase,1,57,6.823,0.011,0.034,Yes
CCI,WanT,SCML_SCMR,Group:Phase,1,56,5.57,0.022,0.032,Yes
CCI,WanT,SCML_UTL,Group:Phase,1,57,4.291,0.043,0.035,Yes
CCI,WanT,STL_STR,Group:Phase,1,56,6.761,0.012,0.039,Yes
CCI,WanT,UTL_MTL,Group:Phase,1,57,18.271,7.37E-05,0.079,Yes
CCI,RPE,SCMR_MTR,Group:Phase,1,54,6.652,0.013,0.034,Yes
CCI,RPE,SCMR_UTR,Group:Phase,1,55,5.787,0.02,0.037,Yes
CCI,RPE,UTL_UTR,Group:Phase,1,56,4.541,0.037,0.029,Yes
